target_id	length	eff_length	est_counts	tpm
Solyc02g069515.1.1	1210	1031	28	14.4786
Solyc02g070210.3.1	1637	1458	1	0.365653
Solyc09g008950.1.1	828	649	0	0
Solyc03g116390.3.1	617	438	0	0
Solyc06g071340.1.1	96	4.87155	0	0
Solyc11g017470.2.1	1385	1206	996	440.29
Solyc02g030630.1.1	921	742	0	0
Solyc08g083175.1.1	396	217	0	0
Solyc08g048250.3.1	1857	1678	3	0.953138
Solyc12g032937.1.1	345	166	0	0
Solyc09g009190.3.1	2730	2551	129	26.9591
Solyc12g006870.2.1	1232	1053	104	52.654
Solyc07g008350.3.1	1670	1491	74	26.4594
Solyc08g068640.3.1	5247	5068	8.30994	0.874154
Solyc02g021520.1.1	279	100	0	0
Solyc09g007250.3.1	1648	1469	600	217.749
Solyc12g087870.2.1	1737	1558	0	0
Solyc03g058213.1.1	309	130	0	0
Solyc02g079280.3.1	1274	1095	27	13.1455
Solyc08g008630.3.1	1303	1124	13	6.166
Solyc06g005310.3.1	1358	1179	0	0
Solyc12g049120.2.1	1332	1153	0	0
Solyc09g072940.2.1	858	679	0	0
Solyc08g075540.3.1	2634	2455	97	21.0643
Solyc09g091510.3.1	1452	1273	372	155.791
Solyc04g016177.1.1	1251	1072	1	0.497315
Solyc03g120050.3.1	1594	1415	32	12.0565
Solyc05g018453.1.1	867	688	0	0
Solyc07g065320.3.1	4946	4767	23	2.57223
Solyc05g013560.3.1	448	269	1	1.98187
Solyc01g108380.2.1	1059	880	0	0
Solyc06g035943.1.1	780	601	0	0
Solyc08g006251.1.1	678	499	0	0
Solyc05g025810.3.1	1306	1127	6	2.83827
Solyc03g115350.2.1	507	328	0	0
Solyc12g011190.2.1	1418	1239	19	8.1754
Solyc11g071423.1.1	2259	2080	48.749	12.4948
Solyc10g045555.1.1	393	214	0	0
Solyc08g080585.1.1	714	535	123.183	122.751
Solyc02g005115.1.1	550	371	0	0
Solyc02g086660.3.1	3546	3367	136	21.5339
Solyc04g070987.1.1	535	356	0.343917	0.515027
Solyc03g096193.1.1	399	220	0	0
Solyc10g074520.2.1	1668	1489	84	30.0754
Solyc02g065360.3.1	2862	2683	27	5.365
Solyc01g020570.2.1	1065	886	0	0
Solyc02g076790.3.1	1037	858	18	11.1844
Solyc03g080115.1.1	945	766	0	0
Solyc03g005470.3.1	839	660	235	189.824
Solyc05g047540.3.1	4664	4485	67.6761	8.04451
Solyc11g020471.1.1	882	703	0	0
Solyc05g005770.3.1	1621	1442	207	76.53
Solyc03g044420.2.1	1271	1092	14	6.8349
Solyc06g072135.1.1	1409	1230	1	0.433433
Solyc04g054760.3.1	876	697	12	9.17857
Solyc05g014177.1.1	448	269	0	0
Solyc03g111705.1.1	792	613	0	0
Solyc07g015850.1.1	507	328	0	0
Solyc03g063290.3.1	850	671	23.2423	18.4664
Solyc09g020190.3.1	2061	1882	171	48.4399
Solyc11g008340.2.1	3580	3401	317	49.6912
Solyc12g019777.1.1	477	298	0	0
Solyc09g082740.1.1	288	109	0	0
Solyc03g051820.1.1	411	232	0	0
Solyc01g108820.1.1	768	589	0	0
Solyc09g008917.1.1	192	21.9418	0	0
Solyc11g072320.2.1	4765	4586	1260.53	146.536
Solyc03g112770.3.1	871	692	209	161.015
Solyc04g054430.2.1	1054	875	1	0.609282
Solyc10g052660.2.1	600	421	495.851	627.907
Solyc04g083160.2.1	2894	2715	2	0.392723
Solyc02g088510.3.1	1452	1273	4	1.67517
Solyc02g086920.2.1	2778	2599	0	0
Solyc04g039830.2.1	636	457	0	0
Solyc08g062387.1.1	405	226	0	0
Solyc03g117720.3.1	1465	1286	23	9.53484
Solyc04g074165.1.1	420	241	5	11.0606
Solyc07g063080.3.1	2851	2672	1	0.199522
Solyc11g062195.1.1	489	310	0	0
Solyc07g062020.2.1	849	670	0	0
Solyc04g050823.1.1	585	406	0	0
Solyc01g108080.3.1	384	205	0	0
Solyc08g066460.2.1	935	756	0	0
